"rep_id","n","Delta","ps","dissimilarity","F_unadj","p_unadj","F_pool","p_pool","F_ipw","p_ipw"
1,40,0,0.2,"UniFrac",1.60225205398334,0.044,3.15974437135216,0.001,0.0742585573092403,0.045
1,40,0,0.2,"GUniFrac",1.82503797579176,0.029,4.02715450125785,0.001,0.0807686817219202,0.035
1,40,0,0.2,"weighted UniFrac",1.9249517669455,0.034,5.58015334064619,0.001,0.0898929685324602,0.03
1,40,0,0.2,"GLaD",2.56329605166599,0.019,9.67986358083918,0.001,0.101928966420861,0.017
1,40,0,0.2,"Bray-Curtis",1.75309880576235,0.037,3.78033993596953,0.001,0.0767881472248762,0.048
1,40,0,0.2,"Aitchison",1.58123179821945,0.042,3.03383732965247,0.001,0.069337573805503,0.069
1,40,0,0.2,"Jaccard",1.43882204617424,0.05,2.63812363597625,0.001,0.0679635431453498,0.06
1,40,0,1.2,"UniFrac",1.4961707038474,0.047,2.49699569645408,0.001,0.0396555478273193,0.804
1,40,0,1.2,"GUniFrac",1.65173916161709,0.035,3.05961973381929,0.001,0.0345862128222928,0.84
1,40,0,1.2,"weighted UniFrac",1.91191496666543,0.026,4.07154358493396,0.001,0.027937083837416,0.879
1,40,0,1.2,"GLaD",2.48357065947547,0.015,6.48618418420647,0.001,0.0212995929618558,0.871
1,40,0,1.2,"Bray-Curtis",1.63923083091068,0.036,3.01827454162193,0.001,0.0358573612691066,0.802
1,40,0,1.2,"Aitchison",1.48428855046551,0.049,2.48029426208361,0.001,0.0401636493333089,0.78
1,40,0,1.2,"Jaccard",1.40281696200083,0.043,2.19367460483073,0.001,0.044063106553212,0.727
1,40,0.05,0.2,"UniFrac",1.04856237728948,0.364,2.81714649650153,0.001,0.0530746886771206,0.32
1,40,0.05,0.2,"GUniFrac",1.10754141244091,0.306,3.60165774569442,0.001,0.0546663984013525,0.261
1,40,0.05,0.2,"weighted UniFrac",1.13631018845303,0.305,4.73455824955719,0.001,0.0544379566868749,0.229
1,40,0.05,0.2,"GLaD",1.15028867582608,0.328,7.76224011659288,0.001,0.0505949799886872,0.184
1,40,0.05,0.2,"Bray-Curtis",1.07563285845281,0.337,3.34436979924502,0.001,0.0535775426646107,0.296
1,40,0.05,0.2,"Aitchison",1.05690372041914,0.348,2.77439554901909,0.001,0.0532957971350641,0.318
1,40,0.05,0.2,"Jaccard",1.02074154803406,0.388,2.36971155345329,0.001,0.0526639280580242,0.346
1,40,0.05,1.2,"UniFrac",1.41587710279065,0.044,2.27998743966552,0.001,0.0641963293751496,0.096
1,40,0.05,1.2,"GUniFrac",1.56092873532764,0.039,2.76832232330419,0.001,0.0678014101272492,0.08
1,40,0.05,1.2,"weighted UniFrac",1.78394077183807,0.029,3.61905231804429,0.001,0.0718023788183334,0.063
1,40,0.05,1.2,"GLaD",2.27758941511241,0.022,6.36306279726772,0.001,0.0759392268473614,0.043
1,40,0.05,1.2,"Bray-Curtis",1.56738322911564,0.039,2.69906197064396,0.001,0.0687082386133109,0.079
1,40,0.05,1.2,"Aitchison",1.4633068541519,0.041,2.27261017478102,0.001,0.0668104515158569,0.08
1,40,0.05,1.2,"Jaccard",1.35499994529554,0.045,2.03271950001753,0.001,0.0629828035615394,0.094
1,40,0.1,0.2,"UniFrac",0.73360543653142,0.88,2.25197443860102,0.001,0.0405156021055416,0.748
1,40,0.1,0.2,"GUniFrac",0.720733955152272,0.804,2.61782734671765,0.001,0.0397246661047712,0.666
1,40,0.1,0.2,"weighted UniFrac",0.842514867237392,0.657,3.12926962286484,0.001,0.0478029616852266,0.461
1,40,0.1,0.2,"GLaD",0.597727315799622,0.814,5.13021018568208,0.001,0.033789180769633,0.616
1,40,0.1,0.2,"Bray-Curtis",0.724317035443804,0.809,2.62502510861024,0.001,0.0399305023807867,0.682
1,40,0.1,0.2,"Aitchison",0.715780220685667,0.869,2.18928806384069,0.001,0.0392775482017952,0.781
1,40,0.1,0.2,"Jaccard",0.784918418705564,0.856,1.99629229892918,0.001,0.0434423259370618,0.746
1,40,0.1,1.2,"UniFrac",1.34419930651881,0.06,1.69586370457064,0.003,0.0447033943868401,0.753
1,40,0.1,1.2,"GUniFrac",1.41984272778705,0.059,1.85515400581793,0.003,0.0418369551828526,0.785
1,40,0.1,1.2,"weighted UniFrac",1.54552472102818,0.048,2.1402388675405,0.003,0.036678250620618,0.831
1,40,0.1,1.2,"GLaD",2.77656264869142,0.005,5.0249884444128,0.001,0.0232153809881408,0.884
1,40,0.1,1.2,"Bray-Curtis",1.40324523117015,0.062,1.8165164819412,0.003,0.0418300123117329,0.79
1,40,0.1,1.2,"Aitchison",1.33026050767771,0.069,1.61169886579636,0.004,0.0448710507705407,0.743
1,40,0.1,1.2,"Jaccard",1.27416161946503,0.065,1.5535593087562,0.002,0.0466046788636698,0.746
1,40,0.15,0.2,"UniFrac",0.819227565480798,0.777,2.53783231105762,0.001,0.0428925458552878,0.644
1,40,0.15,0.2,"GUniFrac",0.76987660016692,0.774,3.0096269783223,0.001,0.0400183901065828,0.651
1,40,0.15,0.2,"weighted UniFrac",0.681881448373592,0.814,3.92444768151851,0.001,0.0348931931570171,0.681
1,40,0.15,0.2,"GLaD",0.423987464770122,0.935,6.42293699759598,0.001,0.0197580435983329,0.841
1,40,0.15,0.2,"Bray-Curtis",0.790289932010867,0.741,2.95121991666589,0.001,0.0410917479926939,0.611
1,40,0.15,0.2,"Aitchison",0.828832155043297,0.74,2.49032017151863,0.001,0.0432021075066685,0.63
1,40,0.15,0.2,"Jaccard",0.855309834628924,0.743,2.18926457866411,0.001,0.0450014208900505,0.637
1,40,0.15,1.2,"UniFrac",1.80200188736825,0.001,1.98752880832997,0.001,0.0682317546541966,0.085
1,40,0.15,1.2,"GUniFrac",2.05183053003879,0.004,2.35205217895899,0.001,0.0723091359927511,0.082
1,40,0.15,1.2,"weighted UniFrac",1.81278899798258,0.023,2.96946291248634,0.001,0.060698602855974,0.2
1,40,0.15,1.2,"GLaD",2.85254313566558,0.006,3.60812449351903,0.002,0.0894745872049496,0.046
1,40,0.15,1.2,"Bray-Curtis",2.00280329685433,0.004,2.25343989191583,0.001,0.0724782497195198,0.076
1,40,0.15,1.2,"Aitchison",1.80091073715792,0.004,1.87572369130639,0.003,0.0691965832607267,0.085
1,40,0.15,1.2,"Jaccard",1.60066462976516,0.004,1.75022765453971,0.002,0.064579315037949,0.105
1,40,0.2,0.2,"UniFrac",0.796839624701248,0.839,1.88799129189991,0.001,0.0431492338847064,0.77
1,40,0.2,0.2,"GUniFrac",0.754343733602326,0.831,2.19552569473116,0.001,0.0406861080518919,0.761
1,40,0.2,0.2,"weighted UniFrac",0.694261603946955,0.829,2.74197364318669,0.001,0.037345839995495,0.744
1,40,0.2,0.2,"GLaD",0.637608077309333,0.799,3.95210890568646,0.001,0.0317316173474077,0.716
1,40,0.2,0.2,"Bray-Curtis",0.75369084588673,0.828,2.15587691806451,0.001,0.0405984132667982,0.77
1,40,0.2,0.2,"Aitchison",0.776414031124397,0.859,1.80857587381096,0.002,0.0415905788002442,0.813
1,40,0.2,0.2,"Jaccard",0.843300823127958,0.806,1.70798046888644,0.001,0.0456268069541014,0.76
1,40,0.2,1.2,"UniFrac",1.88827927223696,0.002,2.03190442194984,0.001,0.0611582428913789,0.172
1,40,0.2,1.2,"GUniFrac",2.19292351407287,0.001,2.36359539013031,0.001,0.0638002229841705,0.144
1,40,0.2,1.2,"weighted UniFrac",2.5478534276704,0.001,2.88757306401305,0.001,0.0658358491947734,0.128
1,40,0.2,1.2,"GLaD",4.16841636715393,0.001,4.70269377870676,0.001,0.0929010161937516,0.024
1,40,0.2,1.2,"Bray-Curtis",2.13149216374457,0.001,2.29876097124524,0.001,0.0638067882162043,0.151
1,40,0.2,1.2,"Aitchison",1.87673832900089,0.002,1.95597833118133,0.001,0.0613941668499436,0.178
1,40,0.2,1.2,"Jaccard",1.68190561730885,0.002,1.78956548466789,0.001,0.0594745808187717,0.184
1,40,0.25,0.2,"UniFrac",1.04210259868537,0.354,2.10879554191379,0.001,0.0591765643318384,0.203
1,40,0.25,0.2,"GUniFrac",1.06369660613927,0.356,2.49843974894517,0.001,0.060705349701301,0.187
1,40,0.25,0.2,"weighted UniFrac",1.05716178929577,0.373,3.21472760158435,0.001,0.0614408224954659,0.176
1,40,0.25,0.2,"GLaD",1.01933020617269,0.422,6.26722908661089,0.001,0.0629148449006174,0.142
1,40,0.25,0.2,"Bray-Curtis",1.06916418694759,0.351,2.46657571383797,0.001,0.0606699168875631,0.188
1,40,0.25,0.2,"Aitchison",1.02011702627402,0.425,2.03210727094077,0.001,0.0577285915793011,0.247
1,40,0.25,0.2,"Jaccard",1.00402574907885,0.458,1.86044744418927,0.001,0.0565795436642271,0.265
1,40,0.25,1.2,"UniFrac",1.48016499931017,0.037,2.31100560284669,0.001,0.067010068513594,0.133
1,40,0.25,1.2,"GUniFrac",1.61884944977829,0.055,2.7139382905185,0.001,0.0700519832024107,0.128
1,40,0.25,1.2,"weighted UniFrac",1.69195332954207,0.057,3.38272619752143,0.001,0.0694244003658104,0.142
1,40,0.25,1.2,"GLaD",2.21265275197191,0.028,4.73687709279531,0.001,0.0846495955794034,0.063
1,40,0.25,1.2,"Bray-Curtis",1.60601937801427,0.055,2.64905965545479,0.001,0.0700528930416078,0.127
1,40,0.25,1.2,"Aitchison",1.53118380846677,0.047,2.24382681215687,0.001,0.0701996808427892,0.118
1,40,0.25,1.2,"Jaccard",1.39930023813577,0.053,2.03545785541612,0.001,0.0657517869564625,0.123
1,40,0.3,0.2,"UniFrac",0.951385964405843,0.528,2.18728485309339,0.001,0.0486140195181938,0.494
1,40,0.3,0.2,"GUniFrac",0.932926942601987,0.543,2.59351986335982,0.001,0.0460517676888978,0.513
1,40,0.3,0.2,"weighted UniFrac",0.985128131293191,0.469,3.11859780664493,0.001,0.0451778488789148,0.488
1,40,0.3,0.2,"GLaD",1.2903815071558,0.214,5.31522988220266,0.001,0.0553646208437403,0.184
1,40,0.3,0.2,"Bray-Curtis",0.963411851325422,0.512,2.56489432390529,0.001,0.0478398287085306,0.463
1,40,0.3,0.2,"Aitchison",0.954915696638658,0.534,2.17739132709686,0.001,0.0493043752575998,0.465
1,40,0.3,0.2,"Jaccard",0.98117762825172,0.501,1.95086051731838,0.001,0.0508253170463894,0.457
1,40,0.3,1.2,"UniFrac",1.41269231661946,0.067,2.20848647975132,0.001,0.0558830350218031,0.268
1,40,0.3,1.2,"GUniFrac",1.56933566112138,0.04,2.64567234397359,0.001,0.0573321197356302,0.227
1,40,0.3,1.2,"weighted UniFrac",1.78534352759286,0.023,3.18762784794348,0.001,0.0590515761893742,0.205
1,40,0.3,1.2,"GLaD",2.56933281310049,0.005,5.25273087980443,0.001,0.0745601967739366,0.053
1,40,0.3,1.2,"Bray-Curtis",1.56208553652587,0.037,2.58764843836809,0.001,0.0572672088206221,0.226
1,40,0.3,1.2,"Aitchison",1.39420505114406,0.058,2.17110492041591,0.001,0.0555349080350821,0.277
1,40,0.3,1.2,"Jaccard",1.3253119904504,0.054,1.93396391264217,0.001,0.0554197014035545,0.281
1,40,0.35,0.2,"UniFrac",1.53549991351387,0.025,1.96292843556551,0.001,0.0658911644237533,0.105
1,40,0.35,0.2,"GUniFrac",1.61339736518744,0.024,2.31035984971634,0.001,0.065052056995499,0.148
1,40,0.35,0.2,"weighted UniFrac",0.95680422234286,0.316,2.01007621992637,0.046,0.0332591858430526,0.747
1,40,0.35,0.2,"GLaD",2.50216091414782,0.007,5.31330337644518,0.001,0.0873497877313781,0.034
1,40,0.35,0.2,"Bray-Curtis",1.57070637058417,0.018,2.07329878163914,0.001,0.0665067576458129,0.115
1,40,0.35,0.2,"Aitchison",1.47992231885973,0.024,1.79028960925707,0.004,0.064494034703693,0.131
1,40,0.35,0.2,"Jaccard",1.37681722833701,0.016,1.67994198937745,0.001,0.0623938083816499,0.123
1,40,0.35,1.2,"UniFrac",2.03593311922049,0.002,2.33611385032343,0.001,0.0471660912982943,0.624
1,40,0.35,1.2,"GUniFrac",1.65135696109967,0.088,2.24474979633751,0.047,0.035803163679117,0.785
1,40,0.35,1.2,"weighted UniFrac",0.596947345636006,0.494,1.45897887451187,0.197,0.0184892616113582,0.987
1,40,0.35,1.2,"GLaD",4.79486800968056,0.001,4.8655102133319,0.001,0.0846350562480821,0.048
1,40,0.35,1.2,"Bray-Curtis",2.11806365416384,0.002,2.39478454650756,0.001,0.0478063541351598,0.575
1,40,0.35,1.2,"Aitchison",1.97291831778212,0.005,2.08105285347894,0.001,0.0513373378720391,0.509
1,40,0.35,1.2,"Jaccard",1.6951062252412,0.003,1.88974292921876,0.001,0.0485059731833699,0.666
1,40,0.4,0.2,"UniFrac",1.02406444383374,0.393,1.65475942130276,0.004,0.0554753536637014,0.326
1,40,0.4,0.2,"GUniFrac",1.03886584916643,0.408,1.87478665219647,0.007,0.0561646417608858,0.323
1,40,0.4,0.2,"weighted UniFrac",1.02765209058223,0.43,2.61565759553315,0.001,0.0520257624283404,0.34
1,40,0.4,0.2,"GLaD",1.11744064406911,0.328,2.95107961843291,0.002,0.0623447369240161,0.219
1,40,0.4,0.2,"Bray-Curtis",1.02798118212988,0.438,1.91658535596379,0.002,0.0557759141122965,0.313
1,40,0.4,0.2,"Aitchison",1.0045012435747,0.474,1.60343948041104,0.008,0.0543838282861614,0.354
1,40,0.4,0.2,"Jaccard",1.0114258869585,0.455,1.55321681337377,0.003,0.0548397685891403,0.337
1,40,0.4,1.2,"UniFrac",2.25678207994548,0.001,1.98228158950034,0.002,0.0849923351558499,0.018
1,40,0.4,1.2,"GUniFrac",2.35420795309036,0.001,2.35631168621666,0.001,0.0832238650349322,0.027
1,40,0.4,1.2,"weighted UniFrac",1.17014330164368,0.15,2.62861822329447,0.007,0.0293580941864689,0.739
1,40,0.4,1.2,"GLaD",3.3064226466723,0.001,2.82575847233753,0.002,0.103650542012206,0.017
1,40,0.4,1.2,"Bray-Curtis",2.36101790316156,0.001,2.09043454264854,0.001,0.0845713308855692,0.016
1,40,0.4,1.2,"Aitchison",2.23493487199647,0.001,1.79959564673028,0.004,0.0855103993378419,0.014
1,40,0.4,1.2,"Jaccard",1.86023973646304,0.001,1.69126325647286,0.001,0.073111350720229,0.02
1,40,0.45,0.2,"UniFrac",1.24490246058442,0.118,1.66720668965187,0.004,0.0663255131302844,0.117
1,40,0.45,0.2,"GUniFrac",1.29358375286517,0.134,1.85403925419137,0.002,0.0681483091621237,0.119
1,40,0.45,0.2,"weighted UniFrac",1.3424016532458,0.14,2.15575741355887,0.002,0.0682424061923064,0.146
1,40,0.45,0.2,"GLaD",1.30255398586336,0.224,3.01314163632141,0.002,0.0617831675145612,0.227
1,40,0.45,0.2,"Bray-Curtis",1.27208515690719,0.159,1.84187624631916,0.002,0.0670664569096245,0.147
1,40,0.45,0.2,"Aitchison",1.1622393776817,0.236,1.53260149916957,0.01,0.0658431925988677,0.154
1,40,0.45,0.2,"Jaccard",1.17057375169751,0.176,1.53537259139898,0.003,0.0628214019629562,0.156
1,40,0.45,1.2,"UniFrac",1.62213759717595,0.015,2.01931446388221,0.001,0.0582664427671625,0.305
1,40,0.45,1.2,"GUniFrac",1.37668652430796,0.163,2.0791936011102,0.004,0.0394302591511226,0.619
1,40,0.45,1.2,"weighted UniFrac",1.04311803704066,0.155,1.90511604738396,0.163,0.0235687021391761,0.761
1,40,0.45,1.2,"GLaD",2.53131001221157,0.014,3.23004526707004,0.003,0.0532825046115937,0.344
1,40,0.45,1.2,"Bray-Curtis",1.75951477081114,0.007,2.14058659577856,0.001,0.0615074979632105,0.235
1,40,0.45,1.2,"Aitchison",1.61016966881888,0.011,1.90203739253479,0.001,0.0614158596959216,0.223
1,40,0.45,1.2,"Jaccard",1.47866905719132,0.011,1.7283962589325,0.001,0.0584855345253061,0.266
1,40,0.5,0.2,"UniFrac",0.654939690394756,0.958,1.60310232774493,0.011,0.0422481782776712,0.798
1,40,0.5,0.2,"GUniFrac",0.593166339609631,0.956,1.64378473062262,0.015,0.0405110311399593,0.761
