"rep_id","n","Delta","ps","dissimilarity","F_unadj","p_unadj","F_pool","p_pool","F_ipw","p_ipw"
1,40,0,0.1,"UniFrac",0.913265955426045,0.536,2.97159752463706,0.001,0.0244560227746829,0.453
1,40,0,0.1,"GUniFrac",0.693267877886477,0.701,5.51832728171063,0.001,0.0192544262658303,0.55
1,40,0,0.1,"weighted UniFrac",0.345198877859776,0.821,9.99388342397445,0.001,0.0126572351010054,0.595
1,40,0,0.1,"GLaD",0.774506465535511,0.484,7.6860839944629,0.001,0.0236258780256337,0.32
1,40,0,0.1,"Bray-Curtis",0.935118963764903,0.495,3.53731635917333,0.001,0.0246418740569002,0.412
1,40,0,0.1,"Aitchison",0.939537507773375,0.503,2.0721883546492,0.003,0.0253097416339127,0.454
1,40,0,0.1,"Jaccard",0.937848021716889,0.512,2.60198780112986,0.001,0.0250244044757028,0.442
1,40,0,0.25,"UniFrac",1.61992155137837,0.052,2.86282159804558,0.001,0.0235179026742625,0.513
1,40,0,0.25,"GUniFrac",2.48114357450129,0.007,4.48508962824058,0.001,0.0269177369101427,0.32
1,40,0,0.25,"weighted UniFrac",2.82422050754917,0.022,3.36044480388843,0.001,0.0379415139137998,0.159
1,40,0,0.25,"GLaD",6.08341254076565,0.001,19.0780437879825,0.001,0.0263442335531108,0.141
1,40,0,0.25,"Bray-Curtis",1.64141080820407,0.051,3.09252830838016,0.001,0.0216088614891614,0.602
1,40,0,0.25,"Aitchison",1.22212959849036,0.19,1.8867948995262,0.001,0.0240728904381211,0.578
1,40,0,0.25,"Jaccard",1.45143095916927,0.055,2.29046302414403,0.001,0.0250274464934435,0.477
1,40,0.05,0.1,"UniFrac",1.52203846493931,0.032,3.29627342853069,0.001,0.0409340277909104,0.013
1,40,0.05,0.1,"GUniFrac",1.59887830977763,0.094,5.14039500900396,0.001,0.0433832353819448,0.04
1,40,0.05,0.1,"weighted UniFrac",1.34292002077503,0.232,3.74136792405784,0.001,0.0370931823870137,0.198
1,40,0.05,0.1,"GLaD",0.919992054066727,0.375,28.3480134574368,0.001,0.0241933728133931,0.134
1,40,0.05,0.1,"Bray-Curtis",1.67285942901714,0.036,3.80360939546194,0.001,0.0450055563214673,0.011
1,40,0.05,0.1,"Aitchison",1.59881583169495,0.015,2.10659190885683,0.001,0.0429555586349627,0.012
1,40,0.05,0.1,"Jaccard",1.46107409088727,0.03,2.6569366908622,0.001,0.0393825388907518,0.01
1,40,0.05,0.25,"UniFrac",1.21932162657692,0.185,2.21069560123066,0.001,0.0218928528375467,0.631
1,40,0.05,0.25,"GUniFrac",1.5095855382624,0.088,3.7165902490984,0.001,0.0213477416897137,0.524
1,40,0.05,0.25,"weighted UniFrac",1.95603806700557,0.076,7.03606956676169,0.001,0.0189678033209245,0.494
1,40,0.05,0.25,"GLaD",3.48403330459513,0.022,16.1859290950832,0.001,0.03243368698686,0.071
1,40,0.05,0.25,"Bray-Curtis",1.26681075473079,0.173,2.43881149451652,0.001,0.0213826150728755,0.618
1,40,0.05,0.25,"Aitchison",1.07201475559426,0.316,1.40798949545053,0.028,0.0235516344315452,0.569
1,40,0.05,0.25,"Jaccard",1.21804349832506,0.15,1.87808385895377,0.001,0.0245006242045629,0.507
1,40,0.1,0.1,"UniFrac",1.63900587221895,0.018,2.91106067221594,0.001,0.0428219865308276,0.022
1,40,0.1,0.1,"GUniFrac",1.85547075289428,0.036,4.65774222281852,0.001,0.0472845279492971,0.02
1,40,0.1,0.1,"weighted UniFrac",1.74417874906403,0.112,9.10805211990967,0.001,0.0446490177589213,0.048
1,40,0.1,0.1,"GLaD",2.25837675196054,0.085,22.3666067999222,0.001,0.0403068619099339,0.039
1,40,0.1,0.1,"Bray-Curtis",1.76386104952637,0.029,3.32741213535522,0.001,0.0459024405075884,0.026
1,40,0.1,0.1,"Aitchison",1.5907607598816,0.033,1.94040708184437,0.002,0.0415878889157309,0.048
1,40,0.1,0.1,"Jaccard",1.47304707513923,0.033,2.38122124473921,0.001,0.0391399994543232,0.029
1,40,0.1,0.25,"UniFrac",1.37042275206562,0.065,2.07998977129496,0.001,0.0269723099722386,0.353
1,40,0.1,0.25,"GUniFrac",1.50731434512562,0.089,3.06484660138447,0.001,0.0238907006541247,0.463
1,40,0.1,0.25,"weighted UniFrac",1.32060999646912,0.215,3.19435951533667,0.003,0.018952134299524,0.564
1,40,0.1,0.25,"GLaD",2.51351569656715,0.048,10.9515676307363,0.001,0.00432520604285431,0.961
1,40,0.1,0.25,"Bray-Curtis",1.42238617651091,0.072,2.1876580554552,0.001,0.0273963904959313,0.329
1,40,0.1,0.25,"Aitchison",1.28436584604408,0.125,1.41168993243223,0.023,0.0300260046592837,0.227
1,40,0.1,0.25,"Jaccard",1.30329849010737,0.078,1.77575767553061,0.001,0.028293048498334,0.265
1,40,0.15,0.1,"UniFrac",1.10991624238937,0.268,2.31420597606174,0.001,0.0268481819749715,0.318
1,40,0.15,0.1,"GUniFrac",1.10593905130877,0.306,3.82486237609679,0.001,0.0235449500812306,0.41
1,40,0.15,0.1,"weighted UniFrac",1.17529041629921,0.274,8.47399494290839,0.001,0.0191720351290382,0.395
1,40,0.15,0.1,"GLaD",1.40610200339057,0.201,14.8748667218292,0.001,0.0204338735747198,0.25
1,40,0.15,0.1,"Bray-Curtis",1.08540960397456,0.318,2.67217367599967,0.001,0.0255875499483065,0.364
1,40,0.15,0.1,"Aitchison",1.05391419672384,0.34,1.56098540710243,0.004,0.0269798846790995,0.364
1,40,0.15,0.1,"Jaccard",1.06184383536437,0.319,1.97311145378504,0.001,0.0265183607091771,0.36
1,40,0.15,0.25,"UniFrac",1.62300534247915,0.026,2.45433408656494,0.001,0.0313435444975422,0.177
1,40,0.15,0.25,"GUniFrac",1.92176561798058,0.052,4.57724215560297,0.001,0.0287656619323757,0.263
1,40,0.15,0.25,"weighted UniFrac",1.05372308577196,0.366,4.52530082434064,0.002,0.0140937133177114,0.62
1,40,0.15,0.25,"GLaD",4.65533550044709,0.006,19.0895282907414,0.001,0.0432902223729875,0.027
1,40,0.15,0.25,"Bray-Curtis",1.76008060941561,0.025,2.67805393897169,0.001,0.0323792376982144,0.16
1,40,0.15,0.25,"Aitchison",1.68815404877189,0.022,1.75628790132274,0.002,0.0378488211622845,0.06
1,40,0.15,0.25,"Jaccard",1.47149890477813,0.038,2.04317875678759,0.001,0.0305719644352985,0.179
1,40,0.2,0.1,"UniFrac",1.51545479821522,0.054,2.26937294134246,0.001,0.0353251943170621,0.086
1,40,0.2,0.1,"GUniFrac",2.06707709004701,0.021,3.90834664549297,0.001,0.0412906638834809,0.049
1,40,0.2,0.1,"weighted UniFrac",2.11254808768457,0.071,3.94396376753532,0.001,0.0401526415364523,0.117
1,40,0.2,0.1,"GLaD",4.58842690610048,0.01,19.2555260853283,0.001,0.0680923782365707,0.007
1,40,0.2,0.1,"Bray-Curtis",1.49916391376134,0.049,2.36662460715991,0.001,0.0338239421207736,0.132
1,40,0.2,0.1,"Aitchison",1.27057630902681,0.14,1.31806120439433,0.043,0.031925025384506,0.205
1,40,0.2,0.1,"Jaccard",1.3486272178202,0.048,1.86631850155033,0.001,0.0325661980196148,0.115
1,40,0.2,0.25,"UniFrac",1.82894105667921,0.025,2.34415420418933,0.001,0.0398751657440647,0.073
1,40,0.2,0.25,"GUniFrac",3.56412643315139,0.039,6.87011375820919,0.001,0.0471573171681789,0.134
1,40,0.2,0.25,"weighted UniFrac",3.80937303763952,0.047,7.50929510748905,0.001,0.0483597101539366,0.14
1,40,0.2,0.25,"GLaD",3.57580591847701,0.029,23.7649580187193,0.001,0.0331391274467538,0.048
1,40,0.2,0.25,"Bray-Curtis",1.41517863082081,0.055,2.17953157243318,0.001,0.0318709677971056,0.146
1,40,0.2,0.25,"Aitchison",1.11760593623016,0.228,1.17863052024446,0.117,0.0305615185498073,0.221
1,40,0.2,0.25,"Jaccard",1.27550155679998,0.049,1.74468994578141,0.001,0.0307099771887787,0.15
1,40,0.25,0.1,"UniFrac",1.12934542941138,0.254,2.06963177859007,0.001,0.0295994228716153,0.203
1,40,0.25,0.1,"GUniFrac",0.977686184240111,0.473,3.3500426384484,0.001,0.0268409270289212,0.308
1,40,0.25,0.1,"weighted UniFrac",0.790388996097108,0.585,3.6647301131486,0.001,0.0252919286757489,0.362
1,40,0.25,0.1,"GLaD",0.776091951456964,0.459,13.6696349327793,0.001,0.0158159285816105,0.415
1,40,0.25,0.1,"Bray-Curtis",0.998310917216811,0.446,2.26438296593391,0.001,0.0262306235643343,0.37
1,40,0.25,0.1,"Aitchison",1.07894287317102,0.296,1.39773116476679,0.025,0.02841890724033,0.292
1,40,0.25,0.1,"Jaccard",1.02228317721457,0.4,1.74824335922823,0.001,0.026855148774984,0.345
1,40,0.25,0.25,"UniFrac",1.66626219964741,0.027,2.22227482562629,0.001,0.0350796488004073,0.11
1,40,0.25,0.25,"GUniFrac",2.28503295172431,0.058,4.26208092996892,0.002,0.0403593465722583,0.129
1,40,0.25,0.25,"weighted UniFrac",2.34693806782141,0.089,4.12845992749441,0.006,0.0400130589619206,0.177
1,40,0.25,0.25,"GLaD",1.43439728231537,0.203,15.3395190774089,0.001,0.0122818979655621,0.565
1,40,0.25,0.25,"Bray-Curtis",1.69609973906195,0.021,2.4866395605606,0.001,0.0339878287226171,0.129
1,40,0.25,0.25,"Aitchison",1.52387802261129,0.041,1.37842534429237,0.031,0.0336553976458262,0.142
1,40,0.25,0.25,"Jaccard",1.42899606154344,0.03,1.91251853680744,0.001,0.030519615031653,0.179
1,40,0.3,0.1,"UniFrac",2.00824369812007,0.007,2.43122345128039,0.001,0.0502591167873321,0.003
1,40,0.3,0.1,"GUniFrac",2.25257634178751,0.005,3.89878789385138,0.001,0.0536775117008134,0.005
