"rep_id","n","Delta","ps","dissimilarity","F_unadj","p_unadj","F_pool","p_pool","F_ipw","p_ipw"
1,40,0,0.2,"UniFrac",1.60225205398334,0.044,3.15974437135216,0.001,NA,NA
1,40,0,0.2,"GUniFrac",1.82503797579176,0.032,4.02715450125785,0.001,NA,NA
1,40,0,0.2,"weighted UniFrac",1.9249517669455,0.041,5.58015334064619,0.001,NA,NA
1,40,0,0.2,"GLaD",2.56329605166599,0.021,9.67986358083918,0.001,NA,NA
1,40,0,0.2,"Bray-Curtis",1.75309880576235,0.034,3.78033993596953,0.001,NA,NA
1,40,0,0.2,"Aitchison",1.58123179821945,0.041,3.03383732965247,0.001,NA,NA
1,40,0,0.2,"Jaccard",1.43882204617424,0.049,2.63812363597625,0.001,NA,NA
1,40,0,2,"UniFrac",2.25227928476899,0.001,2.48421071153824,0.001,NA,NA
1,40,0,2,"GUniFrac",2.72843672832821,0.001,3.09092313568049,0.001,NA,NA
1,40,0,2,"weighted UniFrac",3.50605670697213,0.001,4.15078064679258,0.001,NA,NA
1,40,0,2,"GLaD",4.89067139485445,0.001,6.49454810678105,0.001,NA,NA
1,40,0,2,"Bray-Curtis",2.69392410063251,0.001,3.06549477555758,0.001,NA,NA
1,40,0,2,"Aitchison",2.26360218519639,0.002,2.48839805156072,0.001,NA,NA
1,40,0,2,"Jaccard",2.00585604570303,0.001,2.19055719948195,0.001,NA,NA
1,40,0.05,0.2,"UniFrac",1.04856237728948,0.364,2.81714649650153,0.001,NA,NA
1,40,0.05,0.2,"GUniFrac",1.10754141244091,0.298,3.60165774569442,0.001,NA,NA
1,40,0.05,0.2,"weighted UniFrac",1.13631018845303,0.305,4.73455824955719,0.001,NA,NA
1,40,0.05,0.2,"GLaD",1.15028867582608,0.325,7.76224011659288,0.001,NA,NA
1,40,0.05,0.2,"Bray-Curtis",1.07563285845281,0.327,3.34436979924502,0.001,NA,NA
1,40,0.05,0.2,"Aitchison",1.05690372041914,0.338,2.77439554901909,0.001,NA,NA
1,40,0.05,0.2,"Jaccard",1.02074154803406,0.398,2.36971155345329,0.001,NA,NA
1,40,0.05,2,"UniFrac",1.65790115229635,0.006,2.16681987951383,0.001,NA,NA
1,40,0.05,2,"GUniFrac",1.90835989382205,0.008,2.60780275412769,0.001,NA,NA
1,40,0.05,2,"weighted UniFrac",2.22760327928001,0.005,3.3066841210422,0.001,NA,NA
1,40,0.05,2,"GLaD",3.21760963846015,0.001,4.94448415045797,0.001,NA,NA
1,40,0.05,2,"Bray-Curtis",1.90388908562104,0.008,2.56022359146699,0.001,NA,NA
1,40,0.05,2,"Aitchison",1.68471637787216,0.013,2.16539295562393,0.001,NA,NA
1,40,0.05,2,"Jaccard",1.54191365927981,0.013,1.94548148320338,0.001,NA,NA
1,40,0.1,0.2,"UniFrac",0.73360543653142,0.88,2.25197443860102,0.001,NA,NA
1,40,0.1,0.2,"GUniFrac",0.720733955152272,0.803,2.61782734671765,0.001,NA,NA
1,40,0.1,0.2,"weighted UniFrac",0.842514867237392,0.672,3.12926962286484,0.001,NA,NA
1,40,0.1,0.2,"GLaD",0.597727315799622,0.841,5.13021018568208,0.001,NA,NA
1,40,0.1,0.2,"Bray-Curtis",0.724317035443804,0.812,2.62502510861024,0.001,NA,NA
1,40,0.1,0.2,"Aitchison",0.715780220685667,0.879,2.18928806384069,0.002,NA,NA
1,40,0.1,0.2,"Jaccard",0.784918418705564,0.859,1.99629229892918,0.001,NA,NA
1,40,0.1,2,"UniFrac",1.6590329858916,0.004,1.7292384072866,0.001,NA,NA
1,40,0.1,2,"GUniFrac",1.85409131192867,0.006,1.92412967561388,0.001,NA,NA
1,40,0.1,2,"weighted UniFrac",2.18045979605894,0.004,2.28087237422633,0.001,NA,NA
1,40,0.1,2,"GLaD",5.10850675025338,0.001,5.34658437985876,0.001,NA,NA
1,40,0.1,2,"Bray-Curtis",1.7850607647651,0.006,1.85284771521716,0.002,NA,NA
1,40,0.1,2,"Aitchison",1.62027963234288,0.012,1.63074571308651,0.002,NA,NA
1,40,0.1,2,"Jaccard",1.48775617743157,0.011,1.55929418707128,0.002,NA,NA
1,40,0.15,0.2,"UniFrac",0.819227565480798,0.777,2.53783231105762,0.001,NA,NA
1,40,0.15,0.2,"GUniFrac",0.76987660016692,0.776,3.0096269783223,0.001,NA,NA
1,40,0.15,0.2,"weighted UniFrac",0.681881448373592,0.809,3.92444768151851,0.001,NA,NA
1,40,0.15,0.2,"GLaD",0.423987464770122,0.921,6.42293699759598,0.001,NA,NA
1,40,0.15,0.2,"Bray-Curtis",0.790289932010867,0.755,2.95121991666589,0.001,NA,NA
1,40,0.15,0.2,"Aitchison",0.828832155043297,0.745,2.49032017151863,0.001,NA,NA
1,40,0.15,0.2,"Jaccard",0.855309834628924,0.754,2.18926457866411,0.001,NA,NA
1,40,0.15,2,"UniFrac",2.50924382397282,0.001,2.42709244437973,0.001,NA,NA
1,40,0.15,2,"GUniFrac",3.00654047822313,0.001,2.95262601438321,0.001,NA,NA
1,40,0.15,2,"weighted UniFrac",3.07362943833764,0.008,3.87101553820066,0.001,NA,NA
1,40,0.15,2,"GLaD",6.47974970243965,0.001,6.69188110911825,0.001,NA,NA
1,40,0.15,2,"Bray-Curtis",2.91609573761227,0.001,2.84484356795297,0.001,NA,NA
1,40,0.15,2,"Aitchison",2.56268349755802,0.001,2.34753542838056,0.001,NA,NA
1,40,0.15,2,"Jaccard",2.1818364003312,0.001,2.12543157999637,0.001,NA,NA
1,40,0.2,0.2,"UniFrac",0.796839624701248,0.839,1.88799129189991,0.001,NA,NA
1,40,0.2,0.2,"GUniFrac",0.754343733602326,0.815,2.19552569473116,0.001,NA,NA
1,40,0.2,0.2,"weighted UniFrac",0.694261603946955,0.829,2.74197364318669,0.001,NA,NA
1,40,0.2,0.2,"GLaD",0.637608077309333,0.803,3.95210890568646,0.001,NA,NA
1,40,0.2,0.2,"Bray-Curtis",0.75369084588673,0.819,2.15587691806451,0.001,NA,NA
1,40,0.2,0.2,"Aitchison",0.776414031124397,0.839,1.80857587381096,0.001,NA,NA
1,40,0.2,0.2,"Jaccard",0.843300823127958,0.802,1.70798046888644,0.001,NA,NA
1,40,0.2,2,"UniFrac",2.2240751085748,0.001,2.10604917332227,0.001,NA,NA
1,40,0.2,2,"GUniFrac",2.61254681248711,0.001,2.46028791940157,0.001,NA,NA
1,40,0.2,2,"weighted UniFrac",3.28918795480102,0.001,3.0590096073237,0.001,NA,NA
1,40,0.2,2,"GLaD",6.65387321823704,0.001,6.65615260692924,0.001,NA,NA
1,40,0.2,2,"Bray-Curtis",2.58638100714334,0.001,2.44769063325452,0.001,NA,NA
1,40,0.2,2,"Aitchison",2.28321804332787,0.001,2.07228138992991,0.001,NA,NA
1,40,0.2,2,"Jaccard",1.97485373686937,0.001,1.88381405194111,0.001,NA,NA
1,40,0.25,0.2,"UniFrac",1.04210259868537,0.354,2.10879554191379,0.001,NA,NA
1,40,0.25,0.2,"GUniFrac",1.06369660613927,0.37,2.49843974894517,0.001,NA,NA
1,40,0.25,0.2,"weighted UniFrac",1.05716178929577,0.388,3.21472760158435,0.001,NA,NA
1,40,0.25,0.2,"GLaD",1.01933020617269,0.407,6.26722908661089,0.001,NA,NA
1,40,0.25,0.2,"Bray-Curtis",1.06916418694759,0.366,2.46657571383797,0.001,NA,NA
1,40,0.25,0.2,"Aitchison",1.02011702627402,0.431,2.03210727094077,0.001,NA,NA
1,40,0.25,0.2,"Jaccard",1.00402574907885,0.457,1.86044744418927,0.001,NA,NA
1,40,0.25,2,"UniFrac",2.42718464034073,0.002,2.51082700248865,0.001,NA,NA
1,40,0.25,2,"GUniFrac",2.88000176214364,0.001,3.00432297852682,0.001,NA,NA
1,40,0.25,2,"weighted UniFrac",3.18176987776107,0.001,3.75287374956057,0.001,NA,NA
1,40,0.25,2,"GLaD",4.94607896231701,0.001,6.53207611442079,0.001,NA,NA
